 Mohindra (Con)
Oliver Colvile (Con)
Oliver Dowden (Con)
Oliver Heald (Con)
Oliver Letwin (Con)
Oliver Letwin (Ind)
Olivia Blake (Lab)
Owen Paterson (Con)
Owen Smith (Lab)
Owen Thompson (Snp)
Pat Glass (Lab)
Pat Mcfadden (Lab)
Patricia Gibson (Snp)
Patrick Grady (Ind)
Patrick Grady (Snp)
Patrick Mcloughlin (Con)
Paul Beresford (Con)
Paul Blomfield (Lab)
Paul Bristow (Con)
Paul Farrelly (Lab)
Paul Flynn (Lab)
Paul Girvan (Dup)
Paul Holmes (Con)
Paul Howell (Con)
Paul J Sweeney (Lab)
Paul Masterton (Con)
Paul Maynard (Con)
Paul Monaghan (Snp)
Paul Scully (Con)
Paul Sweeney (Lab)
Paul Williams (Lab)
Paula Barker (Lab)
Paula Sherriff (Lab)
Paulette Hamilton (Lab)
Pauline Latham (Con)
Penny Mordaunt (Con)
Pete Wishart (Snp)
Peter Aldous (Con)
Peter Bone (Con)
Peter Bone (Ind)
Peter Bottomley (Con)
Peter Dowd (Lab)
Peter Gibson (Con)
Peter Grant (Snp)
Peter Heaton-Jones (Con)
Peter Kyle (Lab)
Peter Lilley (Con)
Phil Wilson (Lab)
Philip Boswell (Snp)
Philip Davies (Con)
Philip Dunne (Con)
Philip Hammond (Con)
Philip Hammond (Ind)
Philip Hollobone (Con)
Philippa Whitford (Snp)
Phillip Lee (Con)
Phillip Lee (Ld)
Preet Gill (Lab)
Preet Kaur Gill (Lab)
Priti Patel (Con)
Rachael Maskell (Lab)
Rachel Hopkins (Lab)
Rachel Maclean (Con)
Rachel Reeves (Lab)
Ranil Jayawardena (Con)
Rebecca Harris (Con)
Rebecca Long Bailey (Lab)
Rebecca Pow (Con)
Rehman Chishti (Con)
Richard Arkless (Snp)
Richard Bacon (Con)
Richard Benyon (Con)
Richard Benyon (Ind)
Richard Burden (Lab)
Richard Burgon (Lab)
Richard Drax (Con)
Richard Foord (Ld)
Richard Fuller (Con)
Richard Graham (Con)
Richard Harrington (Con)
Richard Harrington (Ind)
Richard Holden (Con)
Richard Thomson (Snp)
Rishi Sunak (Con)
Rob Butler (Con)
Rob Marris (Lab)
Rob Roberts (Con)
Rob Roberts (Ind)
Rob Wilson (Con)
Robbie Moore (Con)
Robert Buckland (Con)
Robert Butler (Con)
Robert Courts (Con)
Robert Flello (Lab)
Robert Goodwill (Con)
Robert Halfon (Con)
Robert Jenrick (Con)
Robert Largan (Con)
Robert Neill (Con)
Robert Syms (Con)
Roberta Blackman-Woods (Lab)
Robin Millar (Con)
Robin Walker (Con)
Roger Gale (Con)
Roger Godsiff (Lab)
Roger Mullin (Snp)
Ronnie Campbell (Lab)
Ronnie Cowan (Snp)
Rory Stewart (Con)
Rory Stewart (Ind)
Rosena Allin-Khan (Lab)
Rosie Cooper (Lab)
Rosie Duffield (Lab)
Rosie Winterton (Lab)
Ross Thomson (Con)
Royston Smith (Con)
Rupa Huq (Ind)
Rupa Huq (Lab)
Rushanara Ali (Lab)
Ruth Cadbury (Lab)
Ruth Edwards (Con)
Ruth George (Lab)
Ruth Jones (Lab)
Ruth Smeeth (Lab)
Sadiq Khan (Lab)
Sajid Javid (Con)
Sally-Ann Hart (Con)
Sam Gyimah (Con)
Sam Gyimah (Ind)
Sam Gyimah (Ld)
Sam Tarry (Lab)
Samantha Dixon (Lab)
Sammy Wilson (Dup)
Sandy Martin (Lab)
Saqib Bhatti (Con)
Sara Britcliffe (Con)
Sarah Atherton (Con)
Sarah Champion (Lab)
Sarah Dines (Con)
Sarah Dyke (Ld)
Sarah Edwards (Lab)
Sarah Green (Ld)
Sarah Jones (Lab)
Sarah Newton (Con)
Sarah Olney (Ld)
Sarah Owen (Lab)
Sarah Wollaston (Cuk)
Sarah Wollaston (Con)
Sarah Wollaston (Ind)
Sarah Wollaston (Ld)
Scott Benton (Con)
Scott Benton (Ind)
Scott Mann (Con)
Seema Kennedy (Con)
Seema Malhotra (Lab)
Selaine Saxby (Con)
Shabana Mahmood (Lab)
Shailesh Vara (Con)
Sharon Hodgson (Lab)
Shaun Bailey (Con)
Sheryll Murray (Con)
Simon Baynes (Con)
Simon Burns (Con)
Simon Clarke (Con)
Simon Danczuk (Ind)
Simon Fell (Con)
Simon Hart (Con)
Simon Hoare (Con)
Simon Jupp (Con)
Simon Kirby (Con)
Simon Lightwood (Lab)
Siobhain Mcdonagh (Lab)
Siobhan Baillie (Con)
Stella Creasy (Lab)
Stephanie Peacock (Lab)
Stephen Barclay (Con)
Stephen Crabb (Con)
Stephen Doughty (Lab)
Stephen Farry (Apni)
Stephen Flynn (Snp)
Stephen Gethins (Snp)
Stephen Hammond (Con)
Stephen Hammond (Ind)
Stephen Hepburn (Ind)
Stephen Hepburn (Lab)
Stephen Kerr (Con)
Stephen Kinnock (Lab)
Stephen Lloyd (Ind)
Stephen Lloyd (Ld)
Stephen Mcpartland (Con)
Stephen Metcalfe (Con)
Stephen Morgan (Lab)
Stephen Phillips (Con)
Stephen Pound (Lab)
Stephen Timms (Lab)
Stephen Twigg (Lab)
Steve Baker (Con)
Steve Barclay (Con)
Steve Brine (Con)
Steve Brine (Ind)
Steve Double (Con)
Steve Mccabe (Lab)
Steve Reed (Lab)
Steve Rotheram (Lab)
Steve Tuckwell (Con)
Steven Bonnar (Snp)
Steven Paterson (Snp)
Stewart Hosie (Snp)
Stewart Jackson (Con)
Stewart Malcolm Mcdonald (Snp)
Stuart Anderson (Con)
Stuart Andrew (Con)
Stuart Blair Donaldson (Snp)
Stuart C Mcdonald (Snp)
Stuart C. Mcdonald (Snp)
Sue Hayman (Lab)
Suella Braverman (Con)
Suella Fernandes (Con)
Susan Elan Jones (Lab)
Suzanne Webb (Con)
Tahir Ali (Lab)
Taiwo Owatemi (Lab)
Tania Mathias (Con)
Tanmanjeet Singh Dhesi (Lab)
Tasmina Ahmed-Sheikh (Snp)
Teresa Pearce (Lab)
Thangam Debbonaire (Lab)
Thelma Walker (Lab)
Theo Clarke (Con)
Theresa May (Con)
Theresa Villiers (Con)
Thérèse Coffey (Con)
Tim Farron (Ld)
Tim Loughton (Con)
Tobias Ellwood (Con)
Toby Perkins (Lab)
Tom Blenkinsop (Lab)
Tom Brake (Ld)
Tom Elliott (Uup)
Tom Hunt (Con)
Tom Pursglove (Con)
Tom Randall (Con)
Tom Tugendhat (Con)
Tom Watson (Lab)
Tommy Sheppard (Snp)
Tonia Antoniazzi (Lab)
Tony Lloyd (Lab)
Tracey Crouch (Con)
Tracy Brabin (Lab)
Tristram Hunt (Lab)
Trudy Harrison (Con)
Tulip Siddiq (Lab)
Valerie Vaz (Lab)
Vernon Coaker (Lab)
Vicky Ford (Con)
Vicky Foxcroft (Lab)
Victoria Atkins (Con)
Victoria Borwick (Con)
Victoria Prentis (Con)
Vince Cable (Ld)
Virendra Sharma (Lab)
Virginia Crosbie (Con)
Wayne David (Lab)
Wendy Chamberlain (Ld)
Wendy Morton (Con)
Wera Hobhouse (Ld)
Wes Streeting (Lab)
Will Quince (Con)
William Cash (Con)
William Wragg (Con)
Yasmin Qureshi (Lab)
Yvette Cooper (Lab)
Yvonne Fovargue (Lab)
Zac Goldsmith (Con)
Zarah Sultana (Lab)
